document	keywords	categories
the truth is that there will be no quantum cliff in which today's encryption mechanisms will suddenly become obsolete, says Dr. Colin Soutar, the US quantum cyber-readiness leader and managing director for Deloitte Risk & Financial Advisory, which just released a report on quantum encryption	be|truth|encryption|cliff|financial|risk|say|quantum|quantum encryption|become	study|method|achieve|consulting|show|company|risk|analysis|danger|announce|products
binary, quantum computing is not limited	quantum computing|binary	restrict
a Q&A residents criticized county officials, saying they are not being responsive to citizens questions and needs and mismanaging their own budget	county official|criticize|be|question|need|own|responsive|citizens	budget
a Q&A residents criticized county officials, saying they are not being responsive to citizens questions and needs and mismanaging their own budget	county official|criticize|be|question|need|own|responsive|citizens	budget
a Q&A residents criticized county officials, saying they are not being responsive to citizens questions and needs and mismanaging their own budget	county official|criticize|be|question|need|own|responsive|citizens	budget
key requirement to enable the quantum internet	enable|key|quantum internet	standard|plan
Red Bull Solo Q is well known for adding a new challenge to the League of Legends format	format|red bull solo q|know	plan
they are currently investing in quantum computing technology and 43% said they	quantum computing|invest|say	technology|products
A quantum computer uses qubits (quantum bits) that enable bits of information	quantum computer|enable|qubits|information	use|part|announce|products
Shor developed the first potentially useful quantum algorithm,	quantum|develop	products
HFA's Garrett Small (P.E.) and Scott West (P.E.) conducted the webinar and Q	hfa|conduct	
Americans are racing the Chinese to build quantum computers	chinese|quantum computer|race|build|american	
There will be time at the end of the program for a Q&A session with the panelists	panelist|be|session|time	project|plan|policy
they created a series of so-called quantum dots and let the electrons hop from one of these dots	hop|dot|create|electrons	
Q But the Brits don't love it,		perception
Horizons in Physics Prize from the Breakthrough Prize Foundation  for his work in advancing the control of atoms and molecules to improve atomic clocks and quantum information processing	horizon|improve|atomic clock|molecule|atom|quantum information	method|work|start|control|manner|operation|products
Experts to discuss hot topics including post quantum cryptography, zero trust and cybersecurity defenses	post quantum cryptography|hot topic|cybersecurity|discuss	specialist|defense|protection
As a result, it is possible to prevent making useless efforts for realizing quantum computers that are judged to be impossible	result|quantum computer|be|impossible|useless|make	work|effort
3 e-scooter review       Tier to upgrade e-scooter fleet with a smart 'Parrot'       Q	e scooter|upgrade|tier	products
